rank	human_gene_symbol	composite_score	score_mouse_csf	score_human_csf	score_ev	score_brain	score_autophagy	penalties	n_mouse_csf_datasets	mouse_csf_best_tier	d11_tier	d12_validated	d10_detected	d6_brain_detected	d9_isf_detected	ev_present	in_r1	r1_category	r1_tier	is_ambiguous_group	orthology_ambiguous	likely_plasma_derived	feasibility_tier	n_conserved_proteotypic	n_proteotypic_human	n_proteotypic_mouse	module_id	is_hub	module_connectivity	inclusion_count
0	CTSD	1.0	0.997024	1.1	0.924593	1.0	1.0	0.0	7	A	A	True	True	True	True	True	True	CLN10, CPSD, HEL-S-130P	lysosomal	False	False	False	I	3.0	50.0	49.0	569.0	False	0.3877819980121171	9
1	CTSB	0.974853	1.0	1.1	0.948534	1.0	0.8	0.0	7	A	A	True	True	True	True	True	True	APPS, CPSB	default	False	False	False	II	1.0	37.0	34.0				9
2	CST3	0.974093	0.997024	1.1	0.948371	1.0	0.8	0.0	7	A	A	True	True	True	True	True	True	ARMD11; HEL-S-2	default	False	False	False	II	0.0	24.0	33.0	940.0	False	0.3535018802455891	9
3	PRDX6	0.972758	0.997024	1.1	0.935016	1.0	0.8	0.0	7	A	A	True	True	True	True	True	True		default	False	False	False	II	0.0	60.0	0.0	475.0	False	0.3027153696985793	9
4	PARK7	0.969607	0.95299	1.1	0.888599	1.0	0.85	0.0	7	A	A	True	True	True	True	True	True	Mitophagy core	mitophagy	False	False	False	I	20.0	38.0	36.0	299.0	False	0.4154086835947503	9
5	HEXB	0.963827	1.0	1.1	0.838274	1.0	0.8	0.0	7	A	A	True	True	True	True	True	True		default	False	False	False	I	5.0	85.0	88.0	949.0	False	0.4312572129691537	9
6	GGH	0.948096	0.96131	1.1	0.777687	1.0	0.8	0.0	7	A	A	True	True	True	False	True	True		default	False	False	False	II	0.0	51.0	42.0	824.0	False	0.4492347943780329	9
7	GAA	0.947459	0.904167	1.1	0.914169	1.0	0.8	0.0	7	A	A	True	True	True	False	True	True	LYAG	default	False	False	False	I	6.0	68.0	77.0	949.0	False	0.3918613633887818	9
8	LAMP1	0.94083	0.888663	1.1	0.886645	1.0	0.8	0.0	7	A	A	True	True	True	True	True	True		default	False	False	False	I	4.0	45.0	37.0	824.0	False	0.4611557420886182	9
10	ATP6AP1	0.920976	0.991071	1.1	0.682085	1.0	0.7	0.0	7	A	A	True	True	True	True	True	True	mTOR regulators	upstream_regulators	False	False	False	I	12.0	42.0	30.0	951.0	False	0.5082018403453699	9
11	NPC2	0.919646	0.975	1.1	0.708958	1.0	0.7	0.0	7	A	A	True	True	True	True	True	True	mTOR regulators	upstream_regulators	False	False	False	I	2.0	21.0	26.0	951.0	False	0.2662724453069818	9
12	EPDR1	0.91029	0.950997	1.0	0.725407	1.0	0.8	0.0	7	A	A	True	False	True	True	True	True		default	False	False	False	I	9.0	31.0	35.0	824.0	False	0.4553211736952393	9
13	GM2A	0.908152	0.919643	1.1	0.48241	1.0	0.8	0.0	7	A	A	True	True	True	False	True	True		default	False	False	False	I	2.0	16.0	23.0	951.0	False	0.3953487983912426	9
14	MAN2B1	0.903069	0.937749	1.0	0.686319	1.0	0.8	0.0	7	A	A	True	False	True	True	True	True		default	False	False	False	I	2.0	119.0	118.0	951.0	False	0.3299959426044851	9
15	PPT1	0.900918	0.747647	1.0	0.640065	1.0	1.0	0.0	6	A	A	True	False	True	False	True	True	PPT; CLN1; INCL	lysosomal	False	False	False	I	6.0	39.0	50.0	541.0	False	0.3112539125763125	9
